method,agent,dataset,metric,score,signed_error,mlp_signed_error,improvement_over_mlp_pct,win,n_eval_seeds
agentic-mlp,paper,tabarena/jm1,roc_auc,0.738769052970169,-0.738769052970169,-0.7311169934048877,1.0466258662166956,True,15
agentic-mlp,paper,tabarena/kddcup09_appetency,roc_auc,0.8090328658196709,-0.8090328658196709,-0.814647705590487,-0.6892353261765183,False,15
agentic-mlp,paper,tabarena/miami_housing,rmse,86731.79146753588,86731.79146753588,88228.98714354676,1.696943062006346,True,15
agentic-mlp,paper,tabarena/online_shoppers_intention,roc_auc,0.9259248246030108,-0.9259248246030108,-0.9245351964699734,0.15030559554068612,True,15
agentic-mlp,paper,tabarena/physiochemical_protein,rmse,3.602573171614055,3.602573171614055,3.5443040527268708,-1.6440214502013135,False,15
agentic-mlp,paper,tabarena/polish_companies_bankruptcy,roc_auc,0.9309307310710543,-0.9309307310710543,-0.9227513524493767,0.8864119895317459,True,15
agentic-mlp,paper,tabarena/qsar-biodeg,roc_auc,0.9175845445474327,-0.9175845445474327,-0.9140885538764861,0.3824564541499457,True,15
agentic-mlp,paper,tabarena/splice,log_loss,0.09329033036161088,0.09329033036161088,0.11485724697975296,18.777149187585778,True,15
agentic-mlp,paper,tabarena/taiwanese_bankruptcy_prediction,roc_auc,0.8985265670402656,-0.8985265670402656,-0.9366371938563719,-4.068878223722384,False,15
agentic-mlp,paper,tabarena/wine_quality,rmse,0.6524342129317318,0.6524342129317318,0.6746404008927277,3.291559167166876,True,15
agentic-mlp,paper,tabred/cooking-time,rmse,0.48119272202629565,0.48119272202629565,0.48083656988617224,-0.07406927060637727,False,15
agentic-mlp,paper,tabred/delivery-eta,rmse,0.5533631579521913,0.5533631579521913,0.5528911100966802,-0.08537808745531875,False,15
agentic-mlp,paper,tabred/ecom-offers,roc_auc,0.6048389368259157,-0.6048389368259157,-0.5966655160573497,1.369849697796239,True,15
agentic-mlp,paper,tabred/homecredit-default,roc_auc,0.8584209436020703,-0.8584209436020703,-0.8587498886574522,-0.03830510602989416,False,15
agentic-mlp,paper,tabred/homesite-insurance,roc_auc,0.961369360124126,-0.961369360124126,-0.9599366860258388,0.14924672836689723,True,15
agentic-mlp,paper,tabred/maps-routing,rmse,0.16207281176484986,0.16207281176484986,0.1617580105826493,-0.1946124220164774,False,15
agentic-mlp,paper,tabred/sberbank-housing,rmse,0.2390447455246329,0.2390447455246329,0.24055852033434738,0.6292750751918995,True,15
agentic-mlp,paper,tabred/weather,rmse,1.5135726623090562,1.5135726623090562,1.52121138850946,0.502147581730147,True,15
mlp-ablation-claude-1,claude,black-friday,rmse,3469.99320312938,3469.99320312938,3472.8161929578873,0.08128820161088768,True,15
mlp-ablation-claude-1,claude,california,rmse,0.44806503761462735,0.44806503761462735,0.4535039941302183,1.1993183270684098,True,15
mlp-ablation-claude-1,claude,churn,accuracy,0.8591000000000001,-0.8591000000000001,-0.8611000000000001,-0.23226106143305092,False,15
mlp-ablation-claude-1,claude,diamond,rmse,521.2329982548567,521.2329982548567,525.7104401100161,0.8516935395504657,True,15
mlp-ablation-claude-1,claude,house,rmse,31357.53043486401,31357.53043486401,30996.873974200866,-1.163525266977964,False,15
mlp-ablation-claude-1,claude,microsoft,rmse,0.7450949793026747,0.7450949793026747,0.7465393669974093,0.19347776669085726,True,15
mlp-ablation-claude-1,claude,tabarena/APSFailure,roc_auc,0.9909781558482319,-0.9909781558482319,-0.9921826999923364,-0.12140346169247251,False,15
mlp-ablation-claude-1,claude,tabarena/Amazon_employee_access,roc_auc,0.8366092284151448,-0.8366092284151448,-0.8329680198625075,0.4371366566075871,True,15
mlp-ablation-claude-1,claude,tabarena/Another-Dataset-on-used-Fiat-500,rmse,733.7169262984268,733.7169262984268,738.2305336726607,0.6114089255803326,True,15
